0	255	0	0
1	255	3	0
2	255	6	0
3	255	10	0
4	255	13	0
5	255	16	0
6	255	20	0
7	255	23	0
8	255	27	0
9	255	28	0
10	255	35	0
11	255	39	0
12	255	43	0
13	255	47	0
14	255	51	0
15	255	55	0
16	255	59	0
17	255	64	0
18	255	68	0
19	255	73	0
20	255	78	0
21	255	82	0
22	255	87	0
23	255	92	0
24	254	97	0
25	253	102	0
26	252	107	0
27	251	112	0
28	250	118	0
29	249	123	0
30	248	129	0
31	246	134	0
32	244	140	0
33	243	145	0
34	240	151	0
35	238	157	0
36	236	163	0
37	233	169	0
38	230	175	0
39	227	181	0
40	224	188	0
41	221	194	0
42	217	200	0
43	213	207	0
44	209	214	0
45	204	220	0
46	199	227	0
47	194	234	0
48	188	241	0
49	183	248	0
50	176	255	0
51	170	246	11
52	163	237	22
53	156	228	33
54	148	220	43
55	140	211	53
56	132	203	63
57	123	195	73
58	113	187	82
59	104	179	91
60	93	171	100
61	83	164	109
62	71	157	117
63	60	149	125
64	47	142	133
65	34	136	141
66	21	129	148
67	7	123	155
68	0	116	162
69	0	110	169
70	0	104	175
71	0	98	182
72	0	93	188
73	0	87	193
74	0	82	199
75	0	76	204
76	0	71	209
77	0	67	214
78	0	62	218
79	0	57	222
80	0	53	226
81	0	49	230
82	0	45	234
83	0	41	237
84	0	37	240
85	0	34	243
86	0	30	245
87	0	27	248
88	0	24	250
89	0	21	251
90	0	18	253
91	0	16	254
92	0	13	255
93	0	11	255
94	0	9	255
95	0	7	255
96	0	5	255
97	0	4	255
98	0	2	255
99	0	1	255
100	0	0	255
